DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB00215,0.794445714,0.959673084,0.999038266,0.968663279,-0.665367568,2.127880966,1.94858677,-0.754942857,2.19888252,1.270426974,-1.00180922,2.544919357,-0.206278106,2.265595272,-0.777692779,1.30216998,-0.091108176,1.892859772,-0.665066362,-0.42428677,-0.77254414,0.93759268
DB01102,0.709886576,-1.72173184,-1.278101446,0.968487573,-0.925637288,-0.28704888,-0.504805406,-0.653392289,-0.69412651,-1.150723183,-0.635464199,-0.876904609,-0.720872608,-0.951014347,-0.660154196,-0.299994901,4.020815723,1.662161769,-0.682310204,-0.869432362,0.242950255,0.184726844
DB09220,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB09488,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00398,0.741048808,0.785392486,-0.909960461,-1.259819241,-0.788404163,-0.970556229,-0.945740152,-0.274217686,-0.738884978,-1.061809856,1.343816538,-0.290970709,-0.858448524,1.805678988,-0.60520802,1.828132254,0.039180167,-0.646301324,-0.774818349,-0.70154631,-0.77254414,0.841794252
DB01437,0.795624825,0.992699185,0.970497572,0.807013518,-0.503369386,-1.011333656,-0.729360554,-0.593301642,-0.863728521,0.861718386,-0.972668139,-0.840518189,-0.781769479,-0.830601814,-0.834772788,-0.332689853,0.060733858,-0.793948046,-0.797336778,-0.75263228,-0.755776194,0.627989205
DB00181,0.763115037,0.90391473,0.925817794,-1.661659462,-1.21177624,-1.048712964,-0.854355653,-0.845472433,-0.775583492,-1.478385261,-1.001963406,-0.834891423,-0.573891155,-0.750677338,-0.777692779,-0.307364358,0.038436937,-1.002729739,-0.871789605,-0.412809306,-0.166601092,1.126894964
DB00434,0.800172827,0.978402172,1.328445451,1.144545247,1.688732607,-0.316175614,2.186586159,-0.683044005,-0.482852822,1.029848732,-1.001963406,-0.836954571,2.023312572,-0.892648447,-0.90412233,-0.44843148,-0.262497177,1.633983656,-0.97545553,-0.887661276,-0.393312915,0.98037008
DB00582,0.793098158,0.86216745,1.189309564,0.672246815,-0.626248241,-0.782203352,-0.294602892,-0.458163289,-0.893910477,0.974963962,-0.762204775,1.842323842,-0.726133332,1.702969025,-0.546883276,1.835613937,-0.012623013,-0.624385014,-0.546793888,-0.493601655,-0.77254414,0.479907288
DB00575,0.738185252,0.912921849,1.469110303,0.741650788,-1.091263473,-0.812624607,2.031614038,-0.707185225,-0.528297243,-1.24695448,-0.994562496,-0.574184598,2.023153156,-0.841293465,-0.781782624,-0.351281834,-0.128492681,-1.056614201,-0.975658399,-0.840851224,-0.760829548,1.427320148
DB09281,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00768,0.757556369,0.558784819,1.194406117,1.146126603,1.276244537,-0.782365167,1.661534072,-0.568635613,-0.893910477,1.24024035,1.611791136,-0.693284479,1.646293986,-0.794670854,-0.762222497,-0.327116,-0.06531807,1.234711325,-0.752299919,-0.659912369,0.126034026,0.82056945
DB00530,0.692199904,0.909204625,0.937539865,0.684897666,1.277821929,-0.454365784,-0.624713495,-0.63449916,-0.63582046,0.99216119,1.599456287,-0.209945279,-0.409533369,1.737322528,1.979040448,2.307708097,-0.059669517,-0.705788452,1.931044872,-0.89666321,-0.751182236,0.519980369
DB00793,0.751323923,0.969966934,1.256244289,-1.806441422,-1.064605544,-1.011819102,-0.779685616,-0.654179502,-0.731682466,-1.212194126,1.793113419,-0.274465529,-0.851434224,1.83705285,-0.764534148,2.233265357,-0.137411449,-1.094185019,-0.413914865,-0.392329908,-0.682043169,0.06549099
DB00714,0.769179039,0.912778879,1.282916247,1.12750174,-1.04709649,-1.016026297,1.854840446,-0.538721492,-0.893910477,1.203101656,1.796968059,-0.848958338,-0.848724154,-0.838839644,-0.92830576,-0.305194671,-0.179626953,1.685231569,2.251577477,-0.93829715,-0.526307996,0.723869582
DB00027,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
